player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
Jayson Tatum,-145.0,114.0,8.5,12.0,7.0,11.0,16.0,6.0,6.0,10.0,11.0,14.0,8.0,10.1,9.3,-7.5,1.5999999999999996,Unknown,9.276499999999984,0.7764999999999844
Jerami Grant,-103.0,-130.0,3.5,2.0,5.0,6.0,4.0,9.0,2.0,2.0,4.0,2.0,5.0,4.1,3.8,-76.5,0.5999999999999996,Unknown,3.810500000000005,0.3105000000000051
Jimmy Butler,-115.0,-114.0,5.5,9.0,2.0,4.0,3.0,4.0,8.0,3.0,3.0,8.0,9.0,5.3,5.4,-74.5,-0.2000000000000001,Unknown,5.410499999999993,-0.08950000000000724
Jonas Valanciunas,-135.0,105.0,10.5,17.0,12.0,13.0,9.0,14.0,7.0,8.0,2.0,2.0,4.0,8.8,9.65,-6.5,-1.6999999999999993,Unknown,9.611999999999988,-0.8880000000000123
Jordan Poole,-145.0,100.0,3.5,2.0,5.0,4.0,3.0,2.0,5.0,6.0,5.0,4.0,3.0,3.9,3.7,-13.833333333333334,0.3999999999999999,Unknown,3.7004999999999946,0.20049999999999457
Josh Giddey,-135.0,104.0,8.5,10.0,13.0,9.0,8.0,8.0,16.0,8.0,16.0,2.0,6.0,9.6,9.05,-7.5,1.0999999999999996,Unknown,9.079999999999988,0.5799999999999876
Josh Green,112.0,-145.0,2.5,4.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,3.0,2.3,2.4,-10.166666666666666,-0.2000000000000001,Unknown,2.4050000000000016,-0.09499999999999842
Josh Hart,-145.0,100.0,10.5,20.0,10.0,8.0,7.0,4.0,17.0,11.0,10.0,10.0,8.0,10.5,10.5,-11.5,0.0,Unknown,10.489499999999998,-0.010500000000002174
Jrue Holiday,112.0,-148.0,4.5,5.0,2.0,4.0,1.0,6.0,5.0,3.0,7.0,5.0,3.0,4.1,4.3,-10.5,-0.4000000000000003,Unknown,4.298500000000005,-0.2014999999999949
Karl-Anthony Towns,-130.0,100.0,12.5,10.0,14.0,16.0,7.0,18.0,7.0,18.0,10.0,12.0,9.0,12.1,12.3,-5.833333333333333,-0.4000000000000003,Unknown,12.292999999999983,-0.20700000000001673
