player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge
Dillon Brooks,-145.0,105.0,3.5,4.0,4.0,4.0,1.0,4.0,8.0,9.0,6.0,0.0,2.0,4.2,3.85,-12.166666666666666,0.7000000000000002
Donovan Clingan,100.0,-135.0,9.5,9.0,12.0,7.0,13.0,3.0,7.0,8.0,13.0,5.0,6.0,8.3,8.9,-8.5,-1.1999999999999993
Draymond Green,-152.0,100.0,7.5,9.0,7.0,9.0,12.0,8.0,10.0,6.0,4.0,8.0,4.0,7.7,7.6,-14.833333333333334,0.20000000000000018
Duncan Robinson,-158.0,105.0,2.5,1.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.1,2.8,-16.833333333333332,0.6000000000000001
Dyson Daniels,-132.0,100.0,5.5,6.0,4.0,9.0,3.0,4.0,5.0,11.0,5.0,11.0,4.0,6.2,5.85,-8.833333333333334,0.7000000000000002
Franz Wagner,-115.0,-115.0,5.5,7.0,2.0,5.0,4.0,2.0,5.0,7.0,6.0,7.0,7.0,5.2,5.35,-74.83333333333333,-0.2999999999999998
Fred VanVleet,120.0,-154.0,3.5,5.0,0.0,1.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,3.1,3.3,-10.166666666666666,-0.3999999999999999
Harrison Barnes,-135.0,100.0,3.5,2.0,2.0,2.0,1.0,0.0,1.0,5.0,4.0,3.0,4.0,2.4,2.95,-10.5,-1.1
Immanuel Quickley,-152.0,114.0,4.5,5.0,4.0,2.0,5.0,2.0,6.0,6.0,7.0,2.0,3.0,4.2,4.35,-11.166666666666666,-0.2999999999999998
Isaiah Collier,-132.0,100.0,3.5,5.0,3.0,6.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.5,3.5,-9.5,0.0
Isaiah Hartenstein,-143.0,108.0,10.5,11.0,15.0,5.0,11.0,10.0,2.0,5.0,9.0,13.0,12.0,9.3,9.9,-8.166666666666666,-1.1999999999999993
Isaiah Joe,-135.0,100.0,1.5,0.0,6.0,3.0,0.0,2.0,3.0,1.0,5.0,1.0,3.0,2.4,1.95,-11.166666666666666,0.8999999999999999
Ja Morant,105.0,-135.0,4.5,4.0,4.0,3.0,4.0,4.0,2.0,4.0,0.0,7.0,5.0,3.7,4.1,-8.5,-0.7999999999999998
Jabari Smith Jr,-114.0,-117.0,6.5,,,,,,,,,,,,,-74.83333333333333,
Jalen Green,-106.0,-125.0,4.5,7.0,2.0,4.0,6.0,2.0,7.0,8.0,3.0,5.0,0.0,4.4,4.45,-75.5,-0.09999999999999964
Jalen Williams,-154.0,120.0,5.5,9.0,5.0,4.0,6.0,5.0,5.0,6.0,3.0,9.0,3.0,5.5,5.5,-9.5,0.0
Jamal Shead,-185.0,135.0,1.5,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.8,1.65,-16.166666666666668,0.30000000000000004
Jaylen Brown,-110.0,-120.0,5.5,6.0,8.0,5.0,5.0,5.0,8.0,6.0,3.0,5.0,9.0,6.0,5.75,-74.83333333333333,0.5
Jaylen Wells,105.0,-140.0,3.5,7.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,3.8,3.65,-10.5,0.2999999999999998
Jayson Tatum,-145.0,114.0,8.5,12.0,7.0,11.0,16.0,6.0,6.0,10.0,11.0,14.0,8.0,10.1,9.3,-7.5,1.5999999999999996
Jerami Grant,-103.0,-130.0,3.5,2.0,5.0,6.0,4.0,9.0,2.0,2.0,4.0,2.0,5.0,4.1,3.8,-76.5,0.5999999999999996
Jimmy Butler,-115.0,-114.0,5.5,9.0,2.0,4.0,3.0,4.0,8.0,3.0,3.0,8.0,9.0,5.3,5.4,-74.5,-0.20000000000000018
Jonas Valanciunas,-135.0,105.0,10.5,17.0,12.0,13.0,9.0,14.0,7.0,8.0,2.0,2.0,4.0,8.8,9.65,-6.5,-1.6999999999999993
Jordan Poole,-145.0,100.0,3.5,2.0,5.0,4.0,3.0,2.0,5.0,6.0,5.0,4.0,3.0,3.9,3.7,-13.833333333333334,0.3999999999999999
Josh Giddey,-135.0,104.0,8.5,10.0,13.0,9.0,8.0,8.0,16.0,8.0,16.0,2.0,6.0,9.6,9.05,-7.5,1.0999999999999996
Josh Green,112.0,-145.0,2.5,4.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,3.0,2.3,2.4,-10.166666666666666,-0.20000000000000018
Josh Hart,-145.0,100.0,10.5,20.0,10.0,8.0,7.0,4.0,17.0,11.0,10.0,10.0,8.0,10.5,10.5,-11.5,0.0
Jrue Holiday,112.0,-148.0,4.5,5.0,2.0,4.0,1.0,6.0,5.0,3.0,7.0,5.0,3.0,4.1,4.3,-10.5,-0.40000000000000036
Karl-Anthony Towns,-130.0,100.0,12.5,10.0,14.0,16.0,7.0,18.0,7.0,18.0,10.0,12.0,9.0,12.1,12.3,-5.833333333333333,-0.40000000000000036
Keegan Murray,-125.0,-106.0,5.5,6.0,9.0,3.0,5.0,5.0,6.0,5.0,5.0,8.0,7.0,5.9,5.7,-75.16666666666667,0.40000000000000036
Kel'el Ware,-110.0,-120.0,9.5,12.0,8.0,12.0,8.0,15.0,12.0,6.0,9.0,6.0,7.0,9.5,9.5,-73.5,0.0
Kentavious Caldwell-Pope,128.0,-166.0,2.5,3.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,3.0,2.4,2.45,-11.833333333333334,-0.10000000000000009
Keon Johnson,-157.0,107.0,4.5,3.0,1.0,7.0,8.0,6.0,3.0,2.0,4.0,4.0,5.0,4.3,4.4,-15.166666666666666,-0.20000000000000018
Kevin Durant,-143.0,100.0,5.5,9.0,9.0,7.0,10.0,2.0,5.0,8.0,4.0,10.0,5.0,6.9,6.2,-12.5,1.4000000000000004
Keyonte George,-125.0,-105.0,3.5,6.0,6.0,3.0,3.0,4.0,3.0,5.0,8.0,3.0,4.0,4.5,4.0,-75.5,1.0
Klay Thompson,-160.0,114.0,3.5,5.0,4.0,4.0,3.0,2.0,2.0,8.0,2.0,3.0,7.0,4.0,3.75,-14.166666666666666,0.5
Kyle Filipowski,-158.0,116.0,5.5,7.0,5.0,13.0,8.0,11.0,13.0,1.0,11.0,2.0,3.0,7.4,6.45,-12.166666666666666,1.9000000000000004
Kyshawn George,-115.0,-115.0,5.5,6.0,7.0,8.0,4.0,5.0,3.0,2.0,9.0,9.0,7.0,6.0,5.75,-74.83333333333333,0.5
LaMelo Ball,-200.0,120.0,5.5,1.0,10.0,9.0,7.0,6.0,4.0,5.0,1.0,4.0,0.0,4.7,5.1,-24.833333333333332,-0.7999999999999998
Luguentz Dort,-108.0,-120.0,3.5,6.0,4.0,0.0,9.0,4.0,1.0,3.0,3.0,2.0,3.0,3.5,3.5,-74.83333333333333,0.0
Luka Doncic,-150.0,-110.0,9.5,8.0,7.0,8.0,6.0,2.0,13.0,15.0,10.0,11.0,4.0,8.4,8.95,-83.5,-1.0999999999999996
Malik Monk,-145.0,105.0,3.5,1.0,5.0,9.0,4.0,0.0,6.0,4.0,3.0,4.0,7.0,4.3,3.9,-12.166666666666666,0.7999999999999998
Mark Williams,-144.0,102.0,9.5,8.0,13.0,12.0,16.0,12.0,5.0,9.0,5.0,14.0,15.0,10.9,10.2,-10.833333333333334,1.4000000000000004
Matas Buzelis,100.0,-130.0,5.5,5.0,5.0,7.0,6.0,4.0,4.0,3.0,3.0,7.0,1.0,4.5,5.0,-8.166666666666666,-1.0
Max Christie,-140.0,100.0,4.5,3.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,3.5,4.0,-11.833333333333334,-1.0
